levels,tid,phoneticword,pid,code,word,translation,definition,refn,code_status,ontology_branches
L6,126,hanuBedaH (kEvalavAta),16,AAB-108,हनुभेदः (केवलवात),jaw pain (due only to वातदोष) , ,Ca.Su.20/11; Ah.Ni.15/29-30,Active,
L6,127,hikkA (kEvalavAta),16,AAB-109,हिक्का (केवलवात),hiccup/singultus (due only to वातदोष) , ,Ca.Su.20/11; Su.U.50/1-2; Ma.Ni.12/1-2,Active,
L6,128,hRuddravaH (kEvalavAta),16,AAB-110,हृद्द्रवः (केवलवात),palpitation (due only to वातदोष) , ,Ca.Su.20/11,Active,
L6,129,hRunmohaH (kEvalavAta),16,AAB-111,हृन्मोहः (केवलवात),bradycardia (due only to वातदोष) , ,Ca.Su.20/11,Active,
L5,130,sAmAnyajavAtavikAraH,4,AAC,सामान्यजवातविकारः,diseases due to वात , ,Ca.Ci. 28,Active,
L6,131,antarAyAmaH,130,AAC-1,अन्तरायामः,emprosthotonous ,"the disorder is characterized by कफवमनम्/कफोद्वमम् [vomiting of phlegm], विष्टब्धाक्षः [starring gaze], स्तब्धहनूः/हनुग्रहः [lock jaw/stiff jaw], भग्नपार्श्वः [breaking type of pain ribs/flanks], धनुरिव आभ्यन्तरनमनम् [ventral (internal) bending of body as a bow], अन्तरायम्यते ग्रीवा/जत्रुः आयम्यते [internal bending of neck], मन्यास्तम्भः [torticollis/stiffness of neck], दन्तानां दंशनम्/दशनानां दशनम् [gnashes-grind one's teeth], लालास्रावः [salivation], पृष्ठायामः [stretching of back], शिरोग्रहः [stiffness of head], जृम्भा [yawning], वदनसङ्गः [stiffness of mouth], नेत्रस्तम्भः [lack of eye movements/fixed eyes], वाक्यग्रहः [difficulty in speaking/aphasia], पृष्ठग्रहः [stiffness of back] ",Ca.Ci.28/43-44; Su.Ni.1/55-56; Ah.Ni.15/22-24; Ma.Ni.22/36; Sha.Pu.7/106; Bp.Ma.23/171,Active,
L6,132,apatantrakaH,130,AAC-2,अपतन्त्रकः,convulsive fit ,"the disorder is characterized by धनुरिव नमनम्/धनुर्वद्गात्रनमनम्/अङ्गनमनम् [body bends like a bow], गात्राक्षेपः/अङ्गाक्षेपः [convulsive movements of body], मोहः [confusion/delirium], कुच्छ्रादुच्छ्वसनम्/उच्छ्वासनिरोधः/निरुच्छ्वासः [difficulty in expiration/laborious breathing], स्तब्धाक्षः [fixed/staring eyes], निमीलकः/निमीलिताक्षिः [shutting the eyes], कपोत इव कूजनम् [cooing like a pigeon], निःसंज्ञः/नष्टचेतः [frequent fainting/unconsciousness], शङ्खपीडा [pain in the temporal region of head/temples], शिरःपीडा [pain in the head/headache], हृदयपीडा [pain in the pericordial region/angina pectoris], निश्चेष्टः [loss of movement], स्रस्तदृष्टिः [sunken eyes/downward gaze] ",Ca.Si.9/12-14; Su.Ni.1/64-66; Ah.Ni.15/17-19; Ma.Ni.22/30; Sha.Pu.7/108; Bp.Ma.23/191-192,Active,
L7,133,asAdhya-apatantrakaH,132,AAC-2.1,असाध्य-अपतन्त्रकः,intractable convulsive fit ,"the disorder is characterized by गर्भपातसमुत्पन्नः [caused by miscarriage], शोणितातिस्रवोत्थितः [caused by excessive bleeding/heamorrhage], अभिघातसमुत्थः [caused by trauma] ",Ah.Ci.21/25,Active,
L6,134,apatAnakaH,130,AAC-3,अपतानकः,orthotonos ,"the disorder is characterized by दृष्टिस्तम्भः [fixed eyes/gaze], संज्ञाहानिः [loss of conciousness], कण्ठेन कूजति [cooing sound from throat], वृते पुनर्मोहं याति [faints again and again], हृदि मुक्ते स्वास्थ्यं याति [regains conciousness after a while due to the recovery], संस्तरेषु प्रेतानां जलमपि दिशति [offers water to the ancestral souls/ritual arrangements for sacrifice for spirits of dead persons] ",Ca.Si.9/15; Su.Ni.1/52; Ah.Ni.15/15-20; Ma.Ni.22/31-32; Sha.Pu.7/108; Bp.Ma.23/198,Active,
L6,135,arditaH,130,AAC-4,अर्दितः,facial paralysis ,"the disorder is characterized by बाहुसङ्कोचः [contraction of arms], पादसङ्कोचः [contraction of legs], जानुसङ्कोचः [contraction of knees], जिह्म-अर्धमुखम् [lateral deviation of mouth], नासावक्रता [deviation of nose], भ्रूवक्रता [deviation of eyebrow], ललाटवक्रता [deviation of forehead], अक्षिवक्रता/ईक्षितवक्रता [slight/deviation of eye], हनुवक्रता [deviation of jaw], आस्ये भोजनं वक्रं व्रजति [unable to put food bolus properly in mouth/difficulty in eating], वक्रनासिका [deviation of nose], कथयतः नेत्रस्तब्धता [ocassional inactivity of eyes], क्षवथुनिग्रहः/क्षवग्रहः [supression of sneezing/holding sneezing], दीना वाक्/वाक्सङ्गः [speech affliction /dysphasia], जिह्मा वाक् [distorted/sluggish speech], दन्तचालनम् [loosening of teeth], श्रवणबाधा [hearing impairment], स्वरभेदः/स्वरभ्रंशः [hoarseness of voice/loss of voice], पादरुजा [leg pain], हस्तरुजा [pain in hands], अक्षिरुजा [pain in eyes], जङ्घारुजा [pain in calf muscles], ऊरुरुजा [pain in thighs], शङ्घरुजा [pain in temporal part of head], श्रवणरुजा [pain in ear/otalgia], गण्डरुजा [pain in side of face including temple], वक्त्रार्थवक्रता [distorted speech], उक्तवक्रता [ambiguity in spoken words], हसितवक्रता [deviation of mouth on laughing], मूर्धाकम्पः [shaking of head], स्तब्धनेत्रता [staring look], श्रुतिहानिः [hearing impairment/loss], गन्धाज्ञानम् [impairment in sense of smelling], स्मृतिमोहः [memory impairment], सुप्तस्य त्रासः [fear on sleep/fearful look on sleep], निष्ठीवः पार्श्वतो यायात् [spitting on laterally/salivation from angle of mouth], एकाक्षिनिमीलनम् [shutting of one eye/closed one eye], जत्रूर्ध्वतीव्ररुजा [sharp pain in body above collar bone/severe pain in head and neck region], शरीरार्धे अधरे वा बाधनम् [afflicting half of the body (vertical/saggital or transverse] ",Ca.Ci.28/41-42; Su.Ni.1/69-72; Ah.Ni.15/32-37; Ma.Ni.22/44-46; Sha.Pu.7/106; Bp.Ma.23/60-63,Active,
L7,136,ardita-pUrvarupam,135,AAC-4.1,अर्दित-पूर्वरुपम्,prodromes of facial paralysis ,"the disorder is characterized by रोमहर्षः [horripilation], वेपथुः [shivering/tremors], आविलनेत्रः [turbid/muddy eyes], त्वचि स्वापः [numbness in skin], तोदः [pricking pain], मन्याग्रहः [neck stiffness], हनुग्रहः [lock jaw/catching sensation over jaw], ऊर्ध्ववायुः [upward movement of वायु] ",Su.Ni.1/71; Ma.Ni.22/46,Active,
L7,137,asAdhya-arditaH,135,AAC-4.2,असाध्य-अर्दितः,irremediable facial palsy ,"the disorder is characterized by अव्यक्तभाषणम् [incoherent speech], प्रसक्तभाषणम् [stammering speech/unable to speak, aphasia], क्षीणः [debilitatated person], कम्पः/वेपनम् [tremors], अनिमिषाक्षस्य [unable to close eye] ",As.Ni.1/73; Ma.Ni.22/47,Active,
L6,138,asthipraBedaH,130,AAC-5,अस्थिप्रभेदः,osteodynia/ostealgia , ,Ca.Ci.28/20; Ma.Ni.22/18,Active,
L6,139,asthiSoShaH,130,AAC-6,अस्थिशोषः,osteopenia/osteoporosis , ,,Active,
L6,140,vAtAShThIlA,130,AAC-7,वाताष्ठीला,prostatic enlargement ,"the disorder is characterized by वस्त्याध्मानः [distention of urinary bladder], गुदाध्मानः [distension in the rectum], मूत्रमार्गरोधः [obstruction in passage of urine], विण्मार्गरोधः [obstruction in passage of feces], तीव्रार्तिः [severe pain], बहिर्मार्गावरोधः [obstruction to passage of flatus, urine and fecal matter], अष्ठीलावद्घनं ग्रन्थिः [stony hard globular swelling/gland below navel], उर्ध्व-आयत-उन्नतग्रन्थिः [upwardly extended prominent gland in navel] ",Ca.Si.9/36; Su.Ni.1/90; u.U.58/7-8;Ah.Ni.15/23-24; Ma.Ni.22/70-71; Sha.Pu.7/109; Bp.Ma.23/108,Active,
L6,141,avabAhukaH,130,AAC-8,अवबाहुकः,frozen shoulder ,"the disorder is characterized by अंसबन्धनशोषः [atrophy of the structure binding the shoulder joints/wasting of shoulder region], सिराकुञ्चनम् [contraction of ligaments], बाहुप्रस्पन्दनहरणम् [inhibition of movements of upperlimb] ",Su.Ni.1/82; Ah.Ni.15/43; Ma.Ni.22/64; Sha.Pu.7/108; Bp.Ma.23/81,Active,
L6,142,UrustamBaH/ADhyavAtaH,130,AAC-9,ऊरुस्तम्भः/आढ्यवातः,stiff thigh ,"the disorder is characterized by अतिजङ्घाग्लानिः [severe tiredness in calf muscles], अति-ऊरुग्लानिः [severe tiredness of thighs], शश्वदादाहः [slight burning], शश्वद्वेदना [slight pain], न्यस्तं पदं व्यथते [pain on stepping], शीतस्पर्शं न वेत्ति [inability to perceive cold touch], संस्थाने अनीश्वरः [unable to stand], पीडने अनीश्वरः [unable to tolerate pressure], गत्यां अनीश्वरः [unable/difficulty in walking], चालने अनीश्वरः [inability to move], अन्यनेयौ हि संभग्नौ ऊरु मन्यते [feels as if thighs are broken], अन्यनेयौ हि संभग्नौ पादौ मन्यते [feels as if legs are broken], स्तब्ध-ऊरु [stiffnes of thigh], शीत-ऊरु [cold on touch/feel of thigh], अचेतन-ऊरु [loss of sensation in thigh], परकीयाविव ऊरु [thigh feels as if it belongs to someone else], गुरुः [heaviness of thigh], अतिभृशव्यधा [severe frequent pain], ध्यानः [insensibility/meditatitve appearance], अङ्गमर्दः [generalised bodyache], स्तैमित्यः [a sensation of being covered with wet clothes], तन्द्रा [drowsiness/lassitude], छर्दिः [vomiting], अरुचि [tastelessness], ज्वरः [fever], पादसदनम् [feeling of weakness of feet/legs], कृच्छ्रोद्धरणः [difficulty in raising/lifting legs], सुप्तिः [numbness] ",Ca.Su.20/11;Ca.Ci.27/17-19; As. Ni.15/53; Ah.Ni.15/51; Ma.Ni.24/1-10; Sha.Pu.7/105,Active,
L7,143,UrustamBa-pUrvarUpam,142,AAC-9.1,ऊरुस्तम्भ-पूर्वरूपम्,prodromes of stiff-thigh ,"the disorder is characterized by ध्यानः [insensibility/meditatitve appearance], निद्रा [sleep], अतिस्तैमित्यम्/स्तिमितता [excessive rigidity], अरोचकः [tastelessness], ज्वरः [fever], लोमहर्षः [horripilation], छर्दिः [vomiting], जङ्घासदनम् [asthenia/fatigue of calf muscles], ऊरुसदनम् [fatigue /weakness in thighs] ",Ca.Ci.27/15; Ma.Ni.24/6,Active,
L7,144,asAdhya-UrustamBaH,142,AAC-9.2,असाध्य-ऊरुस्तम्भः,intractable stiff-thigh ,"the disorder is characterized by दाहः [burning sensation], अर्तिः [pain], तोदार्तः [pricking pain], वेपनः [shivering/tremors] ",Ca.Ci.27/19; Su.Su.16/26/3; Ma.Ni.24/10,Active,
L6,145,aMsaSoShaH,130,AAC-10,अंसशोषः,shoulder muscle atrophy ,the disorder is characterized by अंसबन्धनशोषः [atrophy of the structure binding the shoulder joints/wasting of shoulder region] ,Su.Ni.1/82; Ma.Ni.22/64,Active,
L6,146,AkShepakaH,130,AAC-11,आक्षेपकः,clonic convulsion ,"the disorder is characterized by गात्राणि मुहुः आक्षिपति [sudden movements of limbs], पाणि शोषः [wasting of hands], पाद शोषः [wasting of feet], सिरा शोषः [wasting of blood vessels], स्नायु शोषः [wasting of muscles], कण्डरा शोषः [wasting of tendons] ",Ca.Ci.28/50; Su.Ni.1/50-58; Ah.Ni.15/17; Ma.Ni.22/27-28;Ma.Ni.22/37; Sha.Pu.7/105; Bp.Ma.23/167,Active,
L6,147,AdhmAnam,130,AAC-12,आध्मानम्,distension/tympanites/meteorism ,"the disorder is characterized by आटोपः [gurgling sound of the intestines/barborygmus], अत्युग्ररुजा [excessive pain], उदराध्मानम् [abdominal distention], वातनिरोधः [obstruction of flatus] ",Su.Ni.1/88; Ah.Ni.11/60; Ma.Ni.22/69; Sha.Pu.7/114; Bp.Ma.23/93,Active,Note: Also Classifed under अन्नवहस्रोतोविकारः[EB]
L7,148,pratyAdhmAnaH/pratyAnAhaH,147,AAC-12.1,प्रत्याध्मानः/प्रत्यानाहः,tympanites/meteorism ,"the disorder is characterized by आमाशयोत्थिताध्मानम् [आध्मान originated from अमशय], आटोपः [gurgling sound of the intestines/barborygmus], अत्युग्ररुजा [excessive pain], उदराध्मानम् [distention of abdomen], वातनिरोधः [obstruction of flatus] ",Su.Ni.1/89; Ah.Ni.15; Ma.Ni.22/69-70; Sha.Pu.7/49; Sha.Pu.7/114; Bp.Ma.23/105,Active,Note: Also Classifed under अन्नवहस्रोतोविकारः[EB]
L6,149,bahirAyAmaH/bAhyAyAmaH/dhanuHstamBaH,130,AAC-13,बहिरायामः/बाह्यायामः/धनुःस्तम्भः,opisthotonus ,"the disorder is characterized by पृष्ठतो नीयते शिरः [backward bending of head], उर उत्क्षिप्यते [raising up of chest part of body], मन्यास्तम्भः [torticollis/stiffness of neck], ग्रीवा अवमर्दनम् [bending of neck/neck pain?], दन्तदशनम् [grinding of teeth/teeth biting], जॄम्भा [yawning], लालास्रावः [salivation], वाग्ग्रहः [chocked voice], जातवेगो निहन्ति वैकल्यं वा प्रयच्छति [confusion/weakness after the attack /episode], वक्षः-कटि-ऊरु भञ्जनम् [breaking type of pain in chest-back-thigh] ",Ca.Ci.28/43-44; Su.Ni.1/55-56; Ma.Ni.22/36; Sha.Pu.7/106,Active,
